lEAR,rEAR,MAR,MOE,l_PUC,r_PUC,label
0.2200061602587321,0.20927732761256013,0.013692164677730278,0.0637907819172186,0.38184160469355183,0.3653387086205192,1
0.24180997506358687,0.21736862433361057,0.009888204573715706,0.04306910028776075,0.39292602238626567,0.39183691227328077,1
0.28810584408705164,0.27344092349845256,0.0,0.0,0.44684578300434075,0.43035225195377835,1
0.2807022876983124,0.29017164609862245,0.016530791343548675,0.05791398193153037,0.42617410277468115,0.4545408826639046,1
0.35984925052821043,0.3430805738534929,0.013982793826521586,0.03978432367362089,0.5232367875853466,0.5294808848481319,1
0.3126692197175142,0.3125,0.01369455594251524,0.04381071719654781,0.4825348569455546,0.45698198912657206,1
0.31189143077590264,0.3224129401095805,0.00675621338029775,0.021302748933815913,0.5040196498601359,0.4810588083341982,1
0.30581582049033396,0.29017164609862245,0.006802365151088859,0.022827208733167362,0.4686587905990437,0.4545408826639046,1
0.29061170633097244,0.25853118590648133,0.0,0.0,0.43462797071074966,0.4068503163435199,1
0.31189143077590264,0.2815659951971824,0.0,0.0,0.45867652813084264,0.45645192560307324,1
0.3224129401095805,0.32402099467411827,0.013696753369184717,0.04237634391445661,0.4810588083341984,0.48431505458191565,1
0.30322960918752423,0.31312645011491014,0.015984876536770744,0.051868968579174016,0.45888365762757294,0.48012636431389755,1
0.31234752377721214,0.3232169673918494,0.016307552704058408,0.05131675205473543,0.5010397521152411,0.5063187302749033,1
0.2815659951971824,0.2807022876983124,0.025865619846321554,0.09200454883609016,0.45645192560307324,0.4318855021607199,1
0.2815659951971824,0.2659714236583873,0.006709488184611286,0.024507870890851845,0.45645192560307324,0.395055351202451,1
0.2574573724019919,0.24951314462072213,0.025346738502473345,0.09999294890490733,0.3764866183735843,0.40671782036033843,1
0.2732786830612019,0.2498780190217697,0.006708952383908013,0.025647964968033562,0.41145585350742525,0.40580558138047834,1
0.2748071948233682,0.25853118590648133,0.006801606162489506,0.025505781725972225,0.4442907749466016,0.40747040602247075,1
0.2808837407533097,0.24890855651482205,0.010100022648565264,0.03812823516176404,0.45608405532945046,0.40383322564810264,1
0.2724429605943788,0.2651077161595172,0.0071424320276134365,0.02657398580816379,0.43292038814782874,0.41971879915485916,1
0.279078152825719,0.2740509990931434,0.01783393266074373,0.06448379225313282,0.4323169291300819,0.4433457919501257,1
0.2799368629393517,0.26646769788648017,0.01306443644254684,0.04781964639095013,0.4518581193861291,0.44300163914558355,1
0.23463225241337865,0.22533797299287767,0.0,0.0,0.39424627160541775,0.4045799348302575,1
0.22762671997104575,0.24951314462072213,0.006446592617907987,0.0270218151795955,0.41998550717692784,0.40671782036033843,1
0.21926450482675733,0.2165463965121501,0.015664387613251094,0.07188616698263689,0.38546918666267405,0.4152690814233963,1
0.25793447709229594,0.25853118590648133,0.012896962443189454,0.04994315543962886,0.4266494558506177,0.4068503163435199,1
0.24207898934092967,0.23281653683320877,0.0183474656876553,0.07726948213417158,0.41737811314744483,0.42699062244529684,1
0.23463225241337865,0.234889455991613,0.00917373284382765,0.0390769273480098,0.39315157896944924,0.3695400265648836,1
0.24987708690612548,0.24243561640699005,0.017672041266973915,0.0717919369053304,0.4280548231984714,0.4409720591240317,1
0.24207898934092967,0.23391857308192698,0.012984445542617986,0.05455677325962077,0.4163465019231931,0.3917306334723173,1
0.25,0.24143354249236892,0.01281898670283106,0.05216976699562633,0.40427680361836454,0.4148386950926513,1
0.20909025401742928,0.2258973796335137,0.00640902660925374,0.029467626725207925,0.36671853325593895,0.3790040622227499,1
0.20394148191521888,0.22533797299287767,0.01289601756828839,0.06008215590494201,0.3699571679927767,0.40233879082110724,1
0.202658303355285,0.2022382021682929,0.019346930182597696,0.09556481677993185,0.34475425752575106,0.3702956626534528,1
0.21271781490575853,0.2258973796335137,0.01289601756828839,0.058803332528571214,0.36430383229240393,0.3790040622227499,1
0.21926450482675733,0.19314683399389515,0.018979787720346128,0.09204299656077093,0.3798496225785572,0.38060678322593716,1
0.2030647291871578,0.20093335197729212,0.022157687428953583,0.10969204291806604,0.3223340570097219,0.378423893132217,1
0.20394148191521888,0.22533797299287767,0.012734645004000742,0.05933032600745858,0.369285081995605,0.402744638907043,1
0.24330750667642823,0.2027294300043367,0.008620083260384971,0.03865188082642801,0.3856692778882308,0.3689586501440857,1
0.21271781490575853,0.23391857308192698,0.006286427365816664,0.028150090475789855,0.35690238076158665,0.3920309917407129,1
0.20394148191521888,0.21832400154313186,0.01547053977873279,0.07327399650110732,0.3699571679927767,0.3795776447280879,1
0.24806946917841693,0.25853118590648133,0.021603406944152696,0.08528771815556498,0.40220541587737657,0.45225901440021965,1
0.21926450482675733,0.22762572680299273,0.02188178557092417,0.09792912899941522,0.38546918666267405,0.40716844809709907,1
0.23463225241337865,0.22648184989793518,0.006367322502000371,0.027617123267687765,0.39315157896944924,0.38097862530848886,1
0.21998662331161217,0.2342606428329091,0.01255810554842546,0.055291936724303936,0.37425358372324846,0.3940063225330393,1
0.23542588877808052,0.22683471718524148,0.01537208708033763,0.0665083153616483,0.39598461806028973,0.3812988100797563,1
0.21926450482675733,0.21038628039844393,0.015467237958641253,0.07199911412024584,0.38546918666267405,0.3664188066019948,1
0.21779498695046928,0.22533797299287767,0.012893185235815974,0.058191046034871,0.3795776447280881,0.402744638907043,1
0.24094215897257015,0.22683471718524148,0.012574552681636519,0.05376303670639035,0.391739273566673,0.38082624540069077,1
0.2262235015895634,0.23391857308192698,0.0064508294628752745,0.028038424729930296,0.4075728910307986,0.3927438165806361,1
0.22670535775477457,0.24951314462072213,0.018740214458024058,0.0787042685848752,0.41549291495344415,0.40671782036033843,1
0.23362355881429978,0.22054054569561543,0.0,0.0,0.3904765321418666,0.3821069865157176,1
0.20394148191521888,0.22533797299287767,0.012576296415876482,0.05859258472348234,0.3699571679927767,0.40219006957992565,1
0.24159918003740385,0.24143354249236892,0.015172541137760695,0.06282200120231192,0.4038348561417578,0.4148386950926513,1
0.2262235015895634,0.22648184989793518,0.039455855368011834,0.17431141575140582,0.3988686295088345,0.377390029554843,1
0.23256512735476587,0.22533797299287767,0.03470149841959689,0.15156699482161726,0.38982702883055315,0.40233879082110724,1
0.22762671997104575,0.21832400154313186,0.021734214074779264,0.09747361323234587,0.3737578826575842,0.3795776447280879,1
0.18174191733512318,0.17179113807746668,0.006327040614433899,0.035793205289106234,0.35992541565340347,0.3476765920771649,1
0.18174191733512318,0.1574898822764107,0.021327673537260873,0.12574100400778426,0.31387785452280736,0.3142065502597225,1
0.20463130769430204,0.2092424034933864,0.018977203192690136,0.09170528438847436,0.373294824936666,0.39106248234955526,1
0.2283511532822941,0.21864326664404848,0.01946950917758576,0.08711298535133401,0.3754628690280781,0.38163107909783167,1
0.21926450482675733,0.22533797299287767,0.015873812723785692,0.07140676678920954,0.38546918666267405,0.4045799348302575,1
0.23256512735476587,0.21864326664404848,0.012731929899378776,0.056434809585622345,0.3918060733174877,0.38205678144921423,1
0.2262235015895634,0.24944628946415223,0.012651426692161648,0.05319415666122455,0.4075728910307986,0.4397734070479378,1
0.20394148191521888,0.21779498695046928,0.008940888465278808,0.042400357215141585,0.3699571679927767,0.3801339575462529,1
0.22762671997104575,0.22685647650708882,0.014980962279957434,0.0659252636667203,0.37168308347619144,0.37077721646646716,1
0.21998662331161217,0.243255879537445,0.02633817747679622,0.11371226653344564,0.37425358372324846,0.4080719784635564,1
0.21998662331161217,0.21280752429947425,0.012479877010511321,0.057671191162806,0.37425358372324846,0.3819113214512574,1
0.23550106338027926,0.24231301312615308,0.02106885033108996,0.08818848739298843,0.36703307837992105,0.3839668794995368,1
0.22762671997104575,0.2342606428329091,0.02645562380514946,0.1145544387469132,0.37048721548520414,0.3911479164468499,1
0.24253562503633297,0.2498780190217697,0.006246623867606182,0.025371449158582242,0.38655381214906975,0.40580558138047834,1
0.21832187779978623,0.21057451355175513,0.012729230437188018,0.059358067327522045,0.3834663596863941,0.3655586810606737,1
